experiment_id,timestamp,forecast_horizon,fold_name,model_name,feature_set,num_features,train_samples,test_samples,recall,precision,f1_score,roc_auc,pr_auc,brier_score,false_negative_rate,ablation_set,feature_count
exp_2m_fold2_recovery_transition_seasonal_baseline_b128b5,2026-09-25T14:45:26.393933+00:00,2,fold2_recovery_transition,seasonal_baseline,all_features,28,300,50,1.0,0.16,0.2759,0.5,0.16,0.264,0.0,,
exp_2m_fold2_recovery_transition_logistic_regression_f51eac,2026-09-25T14:45:26.441572+00:00,2,fold2_recovery_transition,logistic_regression,all_features,28,300,50,0.0,0.0,0.0,0.7083,0.2503,0.1476,1.0,,
exp_2m_fold2_recovery_transition_random_forest_0a2f9e,2026-09-25T14:45:26.840757+00:00,2,fold2_recovery_transition,random_forest,all_features,28,300,50,0.875,0.4667,0.6087,0.8958,0.5833,0.112,0.125,,
exp_2m_fold2_recovery_transition_hist_gradient_boosting_9a3847,2026-09-25T14:45:28.050035+00:00,2,fold2_recovery_transition,hist_gradient_boosting,all_features,28,300,50,0.0,0.0,0.0,0.7113,0.2679,0.153,1.0,,
exp_2m_fold2_recovery_transition_calibrated_ensemble_3fc244,2026-09-25T14:45:29.323353+00:00,2,fold2_recovery_transition,calibrated_ensemble,all_features,28,300,50,0.0,0.0,0.0,0.8185,0.3724,0.1134,1.0,,
exp_3m_fold1_drought_peak_persistence_d977b7,2026-09-25T14:45:29.373695+00:00,3,fold1_drought_peak,persistence,all_features,28,240,60,1.0,0.8571,0.9231,0.8056,0.8571,0.1167,0.0,,
exp_3m_fold1_drought_peak_historical_frequency_2144c9,2026-09-25T14:45:29.403875+00:00,3,fold1_drought_peak,historical_frequency,all_features,28,240,60,1.0,0.7,0.8235,0.5,0.7,0.25,0.0,,
exp_3m_fold1_drought_peak_seasonal_baseline_89f875,2026-09-25T14:45:29.441586+00:00,3,fold1_drought_peak,seasonal_baseline,all_features,28,240,60,0.1429,0.4,0.2105,0.3214,0.6571,0.2875,0.8571,,
exp_3m_fold1_drought_peak_logistic_regression_457e1a,2026-09-25T14:45:29.481437+00:00,3,fold1_drought_peak,logistic_regression,all_features,28,240,60,0.8095,0.8947,0.85,0.8558,0.9188,0.1477,0.1905,,
exp_3m_fold1_drought_peak_random_forest_dd275f,2026-09-25T14:45:29.697760+00:00,3,fold1_drought_peak,random_forest,all_features,28,240,60,0.9762,0.8367,0.9011,0.9683,0.9867,0.1079,0.0238,,
exp_3m_fold1_drought_peak_hist_gradient_boosting_b42ae7,2026-09-25T14:45:29.871518+00:00,3,fold1_drought_peak,hist_gradient_boosting,all_features,28,240,60,0.881,0.881,0.881,0.8876,0.9407,0.1342,0.119,,
exp_3m_fold1_drought_peak_calibrated_ensemble_8d104c,2026-09-25T14:45:30.339490+00:00,3,fold1_drought_peak,calibrated_ensemble,all_features,28,240,60,0.9048,0.8837,0.8941,0.9048,0.9519,0.1054,0.0952,,
exp_3m_fold2_recovery_transition_persistence_a55d09,2026-09-25T14:45:30.381233+00:00,3,fold2_recovery_transition,persistence,all_features,28,300,45,1.0,0.375,0.5455,0.8718,0.375,0.2222,0.0,,
exp_3m_fold2_recovery_transition_historical_frequency_68934d,2026-09-25T14:45:30.421304+00:00,3,fold2_recovery_transition,historical_frequency,all_features,28,300,45,1.0,0.1333,0.2353,0.5,0.1333,0.2809,0.0,,
exp_3m_fold2_recovery_transition_seasonal_baseline_a3f1d9,2026-09-25T14:45:30.456391+00:00,3,fold2_recovery_transition,seasonal_baseline,all_features,28,300,45,1.0,0.1333,0.2353,0.5,0.1333,0.2651,0.0,,
exp_3m_fold2_recovery_transition_logistic_regression_4b84cc,2026-09-25T14:45:30.507502+00:00,3,fold2_recovery_transition,logistic_regression,all_features,28,300,45,0.0,0.0,0.0,0.7521,0.2996,0.1251,1.0,,
exp_3m_fold2_recovery_transition_random_forest_edec50,2026-09-25T14:45:30.849898+00:00,3,fold2_recovery_transition,random_forest,all_features,28,300,45,0.5,0.3333,0.4,0.8504,0.4669,0.1039,0.5,,
exp_3m_fold2_recovery_transition_hist_gradient_boosting_8c6c54,2026-09-25T14:45:32.558765+00:00,3,fold2_recovery_transition,hist_gradient_boosting,all_features,28,300,45,0.1667,0.5,0.25,0.7949,0.3682,0.1073,0.8333,,
exp_3m_fold2_recovery_transition_calibrated_ensemble_75c32b,2026-09-25T14:45:34.708237+00:00,3,fold2_recovery_transition,calibrated_ensemble,all_features,28,300,45,0.0,0.0,0.0,0.8675,0.435,0.0914,1.0,,
ablation_h1_all_features,2026-09-25T14:45:35.215572+00:00,1,fold2_recovery_transition,random_forest_ablation,all_features,28,300,55,0.9,0.6429,0.75,0.9156,0.5549,0.0924,0.1,all_features,28.0
ablation_h1_minus_climate,2026-09-25T14:45:35.572489+00:00,1,fold2_recovery_transition,random_forest_ablation,minus_climate,22,300,55,1.0,0.625,0.7692,0.9156,0.5617,0.1039,0.0,minus_climate,22.0
ablation_h1_minus_vegetation,2026-09-25T14:45:35.881595+00:00,1,fold2_recovery_transition,random_forest_ablation,minus_vegetation,23,300,55,1.0,0.6667,0.8,0.9067,0.523,0.0984,0.0,minus_vegetation,23.0
ablation_h1_minus_market,2026-09-25T14:45:36.281445+00:00,1,fold2_recovery_transition,random_forest_ablation,minus_market,24,300,55,0.7,0.5833,0.6364,0.9089,0.5917,0.0873,0.3,minus_market,24.0
ablation_h1_minus_historical_risk,2026-09-25T14:45:36.525601+00:00,1,fold2_recovery_transition,random_forest_ablation,minus_historical_risk,25,300,55,0.2,0.2857,0.2353,0.7289,0.3174,0.1805,0.8,minus_historical_risk,25.0
ablation_h1_minus_spatial,2026-09-25T14:45:36.848723+00:00,1,fold2_recovery_transition,random_forest_ablation,minus_spatial,23,300,55,1.0,0.625,0.7692,0.9133,0.5529,0.1031,0.0,minus_spatial,23.0
ablation_h1_minus_seasonality,2026-09-25T14:45:37.438497+00:00,1,fold2_recovery_transition,random_forest_ablation,minus_seasonality,23,300,55,1.0,0.625,0.7692,0.9267,0.6558,0.0963,0.0,minus_seasonality,23.0
